lga,confirmed,active,as_of_date
GANNAWARRA,2,0,2020-07-29
HEPBURN,2,0,2020-07-29
MURRINDINDI,2,0,2020-07-29
STRATHBOGIE,2,0,2020-07-29
WANGARATTA,2,0,2020-07-29
WEST WIMMERA,2,1,2020-07-29
WODONGA,2,1,2020-07-29
ALPINE,1,0,2020-07-29
CENTRAL GOLDFIELDS,1,0,2020-07-29
CORANGAMITE,1,0,2020-07-29
MOYNE,1,0,2020-07-29
YARRIAMBIACK,1,0,2020-07-29
BULOKE,0,0,2020-07-29
HINDMARSH,0,0,2020-07-29
INDIGO,0,0,2020-07-29
PYRENEES,0,0,2020-07-29
QUEENSCLIFFE,0,0,2020-07-29
TOWONG,0,0,2020-07-29
UNKNOWN,77,72,2020-07-29
Total,9304,4839,2020-07-29
HUME,213,100,2020-07-04
BRIMBANK,152,49,2020-07-04
MELBOURNE,129,43,2020-07-04
MORELAND,123,38,2020-07-04
CASEY,117,17,2020-07-04
WYNDHAM,107,45,2020-07-04
STONNINGTON,105,7,2020-07-04
BANYULE,99,3,2020-07-04
MOONEE VALLEY,97,36,2020-07-04
BOROONDARA,78,4,2020-07-04
WHITTLESEA,78,28,2020-07-04
MELTON,76,18,2020-07-04
GREATER GEELONG,68,1,2020-07-04
INTERSTATE,65,2,2020-07-04
DAREBIN,64,10,2020-07-04
MORNINGTON PENINSULA,63,0,2020-07-04
GLEN EIRA,60,3,2020-07-04
MONASH,56,2,2020-07-04
PORT PHILLIP,55,7,2020-07-04
YARRA,47,15,2020-07-04
FRANKSTON,42,2,2020-07-04
MARIBYRNONG,41,16,2020-07-04
MANNINGHAM,39,6,2020-07-04
BAYSIDE,36,2,2020-07-04
KINGSTON,35,3,2020-07-04
HOBSONS BAY,32,11,2020-07-04
WHITEHORSE,30,5,2020-07-04
GREATER DANDENONG,28,3,2020-07-04
NILLUMBIK,28,1,2020-07-04
YARRA RANGES,27,1,2020-07-04
UNKNOWN,25,21,2020-07-04
KNOX,23,0,2020-07-04
CARDINIA,22,0,2020-07-04
MAROONDAH,17,1,2020-07-04
MITCHELL,17,6,2020-07-04
GREATER SHEPPARTON,15,1,2020-07-04
WELLINGTON,12,0,2020-07-04
BALLARAT,11,0,2020-07-04
MOIRA,11,0,2020-07-04
GREATER BENDIGO,10,1,2020-07-04
LATROBE,9,0,2020-07-04
MACEDON RANGES,9,0,2020-07-04
SURF COAST,9,0,2020-07-04
MOUNT ALEXANDER,6,0,2020-07-04
ARARAT,5,0,2020-07-04
BAW BAW,5,0,2020-07-04
CAMPASPE,5,0,2020-07-04
MILDURA,5,0,2020-07-04
SOUTH GIPPSLAND,5,0,2020-07-04
WARRNAMBOOL,5,0,2020-07-04
BASS COAST,4,0,2020-07-04
OVERSEAS,4,0,2020-07-04
SWAN HILL,4,0,2020-07-04
BENALLA,3,0,2020-07-04
HORSHAM,3,0,2020-07-04
LODDON,3,0,2020-07-04
MANSFIELD,3,0,2020-07-04
MOORABOOL,3,0,2020-07-04
NORTHERN GRAMPIANS,3,0,2020-07-04
EAST GIPPSLAND,2,1,2020-07-04
GANNAWARRA,2,0,2020-07-04
HEPBURN,2,0,2020-07-04
MURRINDINDI,2,0,2020-07-04
SOUTHERN GRAMPIANS,2,0,2020-07-04
STRATHBOGIE,2,0,2020-07-04
WANGARATTA,2,0,2020-07-04
ALPINE,1,0,2020-07-04
CENTRAL GOLDFIELDS,1,0,2020-07-04
CORANGAMITE,1,0,2020-07-04
GLENELG,1,0,2020-07-04
GOLDEN PLAINS,1,0,2020-07-04
MOYNE,1,0,2020-07-04
WEST WIMMERA,1,0,2020-07-04
WODONGA,1,0,2020-07-04
YARRIAMBIACK,1,0,2020-07-04
TOTAL,2469,509,2020-07-04
HUME,284,150,2020-07-08
MELBOURNE,199,108,2020-07-08
WYNDHAM,189,120,2020-07-08
BRIMBANK,189,75,2020-07-08
MORELAND,143,44,2020-07-08
MOONEE VALLEY,134,63,2020-07-08
CASEY,129,21,2020-07-08
STONNINGTON,110,10,2020-07-08
BANYULE,108,11,2020-07-08
WHITTLESEA,95,39,2020-07-08
MELTON,88,21,2020-07-08
BOROONDARA,83,8,2020-07-08
DAREBIN,73,15,2020-07-08
GREATER GEELONG,70,2,2020-07-08
MONASH,66,12,2020-07-08
INTERSTATE,66,3,2020-07-08
MORNINGTON PENINSULA,63,0,2020-07-08
GLEN EIRA,61,1,2020-07-08
PORT PHILLIP,59,10,2020-07-08
YARRA,57,20,2020-07-08
MARIBYRNONG,54,24,2020-07-08
MANNINGHAM,44,11,2020-07-08
FRANKSTON,43,2,2020-07-08
HOBSONS BAY,41,19,2020-07-08
BAYSIDE,37,2,2020-07-08
KINGSTON,36,2,2020-07-08
WHITEHORSE,34,8,2020-07-08
YARRA RANGES,30,4,2020-07-08
GREATER DANDENONG,30,4,2020-07-08
NILLUMBIK,28,1,2020-07-08
KNOX,27,4,2020-07-08
CARDINIA,22,0,2020-07-08
MITCHELL,20,8,2020-07-08
MAROONDAH,19,3,2020-07-08
GREATER SHEPPARTON,15,1,2020-07-08
WELLINGTON,12,0,2020-07-08
MOIRA,11,0,2020-07-08
BALLARAT,11,0,2020-07-08
SURF COAST,10,1,2020-07-08
GREATER BENDIGO,10,1,2020-07-08
MACEDON RANGES,9,0,2020-07-08
LATROBE,9,1,2020-07-08
MOUNT ALEXANDER,6,0,2020-07-08
WARRNAMBOOL,5,0,2020-07-08
SOUTH GIPPSLAND,5,0,2020-07-08
MILDURA,5,0,2020-07-08
CAMPASPE,5,0,2020-07-08
BAW BAW,5,0,2020-07-08
ARARAT,5,0,2020-07-08
SWAN HILL,4,0,2020-07-08
OVERSEAS,4,0,2020-07-08
BASS COAST,4,0,2020-07-08
NORTHERN GRAMPIANS,3,0,2020-07-08
MOORABOOL,3,0,2020-07-08
MANSFIELD,3,0,2020-07-08
LODDON,3,0,2020-07-08
HORSHAM,3,0,2020-07-08
BENALLA,3,0,2020-07-08
WODONGA,2,1,2020-07-08
WANGARATTA,2,0,2020-07-08
STRATHBOGIE,2,0,2020-07-08
SOUTHERN GRAMPIANS,2,0,2020-07-08
MURRINDINDI,2,0,2020-07-08
HEPBURN,2,0,2020-07-08
GANNAWARRA,2,0,2020-07-08
EAST GIPPSLAND,2,1,2020-07-08
YARRIAMBIACK,1,0,2020-07-08
WEST WIMMERA,1,0,2020-07-08
MOYNE,1,0,2020-07-08
GOLDEN PLAINS,1,0,2020-07-08
GLENELG,1,0,2020-07-08
CORANGAMITE,1,0,2020-07-08
CENTRAL GOLDFIELDS,1,0,2020-07-08
ALPINE,1,0,2020-07-08
UNKNOWN,34,29,2020-07-08
Total,2942,860,2020-07-08
HUME,299,143,2020-07-09
MELBOURNE,221,128,2020-07-09
WYNDHAM,211,133,2020-07-09
BRIMBANK,197,75,2020-07-09
MOONEE VALLEY,160,84,2020-07-09
MORELAND,157,56,2020-07-09
CASEY,132,20,2020-07-09
STONNINGTON,113,11,2020-07-09
BANYULE,110,13,2020-07-09
WHITTLESEA,102,42,2020-07-09
MELTON,91,19,2020-07-09
BOROONDARA,84,9,2020-07-09
DAREBIN,77,19,2020-07-09
GREATER GEELONG,74,6,2020-07-09
INTERSTATE,67,2,2020-07-09
MONASH,66,12,2020-07-09
MORNINGTON PENINSULA,63,0,2020-07-09
GLEN EIRA,62,2,2020-07-09
YARRA,62,23,2020-07-09
MARIBYRNONG,61,28,2020-07-09
PORT PHILLIP,60,8,2020-07-09
FRANKSTON,44,3,2020-07-09
MANNINGHAM,44,10,2020-07-09
HOBSONS BAY,40,15,2020-07-09
BAYSIDE,38,3,2020-07-09
KINGSTON,37,3,2020-07-09
WHITEHORSE,35,8,2020-07-09
GREATER DANDENONG,30,3,2020-07-09
YARRA RANGES,30,4,2020-07-09
NILLUMBIK,28,1,2020-07-09
KNOX,27,3,2020-07-09
CARDINIA,22,0,2020-07-09
MAROONDAH,20,4,2020-07-09
MITCHELL,20,6,2020-07-09
GREATER SHEPPARTON,15,1,2020-07-09
GREATER BENDIGO,13,4,2020-07-09
WELLINGTON,12,0,2020-07-09
BALLARAT,11,0,2020-07-09
MOIRA,11,0,2020-07-09
SURF COAST,10,1,2020-07-09
LATROBE,9,0,2020-07-09
MACEDON RANGES,9,0,2020-07-09
MOUNT ALEXANDER,6,0,2020-07-09
ARARAT,5,0,2020-07-09
BAW BAW,5,0,2020-07-09
CAMPASPE,5,0,2020-07-09
MILDURA,5,0,2020-07-09
SOUTH GIPPSLAND,5,0,2020-07-09
WARRNAMBOOL,5,0,2020-07-09
BASS COAST,4,0,2020-07-09
OVERSEAS,4,0,2020-07-09
SWAN HILL,4,0,2020-07-09
BENALLA,3,0,2020-07-09
HORSHAM,3,0,2020-07-09
LODDON,3,0,2020-07-09
MANSFIELD,3,0,2020-07-09
MOORABOOL,3,0,2020-07-09
NORTHERN GRAMPIANS,3,0,2020-07-09
EAST GIPPSLAND,2,1,2020-07-09
GANNAWARRA,2,0,2020-07-09
HEPBURN,2,0,2020-07-09
MURRINDINDI,2,0,2020-07-09
SOUTHERN GRAMPIANS,2,0,2020-07-09
STRATHBOGIE,2,0,2020-07-09
WANGARATTA,2,0,2020-07-09
WODONGA,2,1,2020-07-09
ALPINE,1,0,2020-07-09
CENTRAL GOLDFIELDS,1,0,2020-07-09
CORANGAMITE,1,0,2020-07-09
GLENELG,1,0,2020-07-09
GOLDEN PLAINS,1,0,2020-07-09
MOYNE,1,0,2020-07-09
WEST WIMMERA,1,0,2020-07-09
YARRIAMBIACK,1,0,2020-07-09
UNKNOWN,34,28,2020-07-09
TOTAL,3098,932,2020-07-09
